TICID,RA,Dec,Tmag,Keywords
254290910,353.9537,-24.3198,11.16,G011180
254296971,354.7816,-25.967,11.02,G011180
254298069,355.3198,-26.9556,10.57,G011180
254303008,5.8228,-22.4138,11.15,G011180
114952911,315.2952,-40.7188,9.19,G011048
115074549,316.0358,-37.5292,8.08,G011048;G011250
115105263,316.3971,-36.4656,7.97,G011048;G011250
115190867,317.5168,-38.3929,9.27,G011048
147130319,321.8371,-43.9251,8.53,G011048;G011250
147269502,324.4298,-45.5866,6.73,G011048
197575748,326.4587,-41.2299,8.24,G011048;G011250
200645081,320.6281,-44.1456,7.98,G011048;G011250
382300028,324.1003,-40.6796,8.11,G011048;G011250
389661661,323.3352,-45.9861,8.57,G011048;G011250
389686589,324.1227,-45.7528,9.21,G011048
197740634,331.0953,-38.8765,6.62,G011048;G011250
197741710,331.2611,-40.8836,8.53,G011048
278614418,333.665,-41.3858,5.45,G011025;G011208;G011048
278706054,334.9476,-41.6523,8.38,G011048
278830372,336.5181,-40.1196,8.44,G011048;G011250
60645979,334.3378,-35.9778,8.91,G011048
62763555,336.4791,-35.6613,7.95,G011048;G011250
206408544,330.1762,-23.2976,6.92,G011048
